Rank,Name,Symbol,country,sector,previousClose,marketCap,trailingPE,forwardPE,priceToBook,profitMargins,enterpriseToRevenue,enterpriseToEbitda,totalRevenue,revenuePerShare,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,debtToEquity,currentRatio,quickRatio,totalCash,totalDebt,bookValue,beta,fiveYearAvgDividendYield,payoutRatio,trailingAnnualDividendYield,trailingAnnualDividendRate,Index,Continent,maxAge,totalEsg,environmentScore,socialScore,governanceScore,ratingYear,ratingMonth,highestControversy,peerCount,esgPerformance,peerGroup
337,Compass Group,CPG.L,United Kingdom,Consumer Cyclical,2794,60114261952,42.876926,26.798079,692.5944,0.03343,1.259,15.67,42002001920,24.635,0.104,0.72594,0.08033,0.07235,0.07961,0.21415001,87.055,0.744,0.615,635000000,6012000256,4.024,0.788,2.22,0.6831,0.00021403006,0.598,Other,Other,86400,18.55,6.58,10.31,1.65,2025,2,2,213,LAG_PERF,Consumer Services
338,Lukoil,LKOH.ME,Russia,Energy,3956,60071024032,3.4640048,178.91125,0.41730225,0.13643,0.226,0.968,8655335849984,12501.659,0.18,0.50246,0.23392001,0.15913,N/A,N/A,5.659,2.193,1.499,1127497990144,367807004672,9372.104,0.477,6.96,0.48970002,0.25581396,1012,Other,Other,86400,37.12,15.53,12.33,9.26,2023,9,3,15,OUT_PERF,Oil & Gas Producers
339,Bajaj Finance,BAJFINANCE.NS,India,Financial Services,8396.7,60012322615,32.411167,24.630987,5.9539447,0.44638002,21.454,N/A,358050791424,579.099,0.196,0.93329,0,0.59841996,N/A,N/A,290.321,N/A,N/A,124034998272,2581427650560,1403.263,1.104,0.24,0.1396,0.0042873984,36,Asian Index,Asia,,,,,,,,,,,
340,Target,TGT,United States,Consumer Defensive,128.13,59911217152,13.178154,11.8239765,3.9388273,0.04062,0.682,8.103,107570003968,233.012,0.011,0.28395,0.08416,0.046630003,0.066539995,0.32367,137.007,0.943,0.158,3432999936,19850999808,31.55,1.148,2.31,0.4687,0.034496214,4.42,S&P 500,North America,86400,18.59,1.92,13.14,3.53,2025,2,3,268,LAG_PERF,Retailing
341,Kinder Morgan,KMI,United States,Energy,26.59,59748499456,22.57265,20.960318,1.9217056,0.17305,6.114,13.842,15100000256,6.802,-0.013,0.51596,0.44172,0.29697,0.03848,0.08554,101.669,0.494,0.313,93000000,32398999552,13.743,0.935,6.29,0.9786,0.04324934,1.15,S&P 500,North America,86400,23.27,8.35,9.85,5.07,2025,2,2,85,AVG_PERF,Refiners & Pipelines
342,National Grid,NGG,United Kingdom,Utilities,61.1,59714375680,23.856031,12.615227,7.7421393,0.09362,16.391,47.431,19321999360,3.912601,-0.062,1,0.34555998,0.17071,0.03156,0.052800003,129.507,1.609,1.107,7264999936,46449000448,7.919,0.281,5.25,1.4175,0.009001637,0.55,Other,Other,,,,,,,,,,,
343,Johnson Controls,JCI,Ireland,Industrials,88.83,59709571072,40.037556,20.353222,3.5431466,0.07553,2.914,20.197,23168999424,34.626,0.042,0.355,0.14429,0.09712,0.03691,0.08182,65.324,1.019,0.619,1236999936,11189999616,24.069,1.331,2.23,0.6948,0.016661039,1.48,Eurostoxx,Europe,86400,15.92,7.47,5.07,3.38,2025,2,3,68,LAG_PERF,Building Products
344,OCBC Bank,O39.SI,Singapore,Financial Services,17.73,59612102204,10.656627,10.529762,1.439616,0.55062,2.807,N/A,13660999680,3.04,0.12,0,0,0.5973,N/A,N/A,N/A,N/A,N/A,88177000448,45542998016,12.288,0.541,4.8,0.5181,0.04850536,0.86,Asian Index,Asia,86400,24.36,1.24,12.34,10.79,2025,2,2,454,AVG_PERF,Banks
345,Industrial Bank,601166.SS,China,Financial Services,20.67,59548632014,6.5047617,5.322078,0.56575644,0.51577,6.637,N/A,145717002240,7.015,-0.057,0,0,0.58986,0.00745,0.09008,N/A,N/A,N/A,1606462996480,2077002956800,36.217,0.688,5.34,0.33020002,0.050314464,1.04,Asian Index,Asia,,,,,,,,,,,
346,Mercedes-Benz,MBG.DE,Germany,Consumer Cyclical,58.8,59471118148,5.6032047,6.0294123,0.6329114,0.07327,1.005,8.785,147947995136,144.802,-0.067,0.18531999,0.114429995,0.06215,0.03103,0.11996,120.714,1.363,0.872,18066999296,109618003968,93.931,1.124,6,0.4995,0.09013606,5.3,Eurostoxx,Europe,86400,15.26,4.5,6.77,3.99,2025,2,3,48,LAG_PERF,Automobiles
347,Schlumberger,SLB,United States,Energy,42.6,59087855616,13.421223,11.373298,2.7671707,0.122930005,1.873,8.237,36288999424,25.538,0.033,0.20676,0.22745001,0.18193,0.08217,0.20952,58.161,1.45,0.993,4705999872,12999000064,15.084,1.527,2.8,0.35369998,0.025821598,1.1,S&P 500,North America,86400,18.48,6.26,7.66,4.55,2025,2,1,71,LAG_PERF,Energy Services
