Rank,Name,Symbol,country,sector,previousClose,marketCap,trailingPE,forwardPE,priceToBook,profitMargins,enterpriseToRevenue,enterpriseToEbitda,totalRevenue,revenuePerShare,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,debtToEquity,currentRatio,quickRatio,totalCash,totalDebt,bookValue,beta,fiveYearAvgDividendYield,payoutRatio,trailingAnnualDividendYield,trailingAnnualDividendRate,Index,Continent,maxAge,totalEsg,environmentScore,socialScore,governanceScore,ratingYear,ratingMonth,highestControversy,peerCount,esgPerformance,peerGroup
1,Apple,AAPL,United States,Technology,245.83,3678461755392,38.91442,29.548735,55.328976,0.24295,9.429,27.169,395760009216,25.974,0.04,0.46519002,0.34706002,0.34459,0.22518998,1.3652,145,0.923,0.783,53774999552,96798998528,4.438,1.2,0.6,0.1571,0.0040271734,0.99,S&P 500,North America,86400,16.36,0.55,7.31,8.5,2025,2,3,236,LAG_PERF,Technology Hardware
2,NVIDIA,NVDA,United States,Technology,140.11,3409742659584,53.120556,32.620148,49.97955,0.55685,28.816,44.871,113268998144,4.605,0.936,0.7586,0.6422,0.62337,0.59131,1.27211,15.516,4.105,3.409,38486999040,10225000448,2.689,1.619,0.08,0.0111,0.00019984298,0.028,S&P 500,North America,86400,12.23,2.73,3.86,5.65,2025,2,2,120,LAG_PERF,Semiconductors
3,Microsoft,MSFT,United States,Technology,416.13,3083391729664,32.90008,27.31037,10.028738,0.35428002,11.711,21.585,261802000384,35.224,0.123,0.69408995,0.54255,0.45458,0.14649001,0.34291,33.998,1.351,1.204,71554998272,102909001728,40.712,0.895,0.86,0.2482,0.0075937808,3.16,S&P 500,North America,86400,13.51,1.65,7.61,4.25,2025,2,3,603,LAG_PERF,Software & Services
4,Amazon,AMZN,United States,Consumer Cyclical,222.88,2401756774400,39.235508,35.21626,8.02267,0.09287,3.683,19.503,637959012352,60.915,0.105,0.48854,0.18882999,0.11291,0.07438,0.24290001,54.342,1.064,0.837,101202001920,155400994816,26.996,1.156,N/A,0,0,0,S&P 500,North America,86400,26.1,8.3,11.05,6.75,2025,2,3,268,AVG_PERF,Retailing
5,Alphabet (Google),GOOG,United States,Communication Services,186.64,2268670459904,22.584578,20.288269,6.820675,0.28604,6.131,16.571,350018011136,28.413,0.118,0.582,0.36997002,0.33967,0.1674,0.32908002,8.655,1.837,1.661,95657000960,28137000960,26.622,0.991,N/A,0.0746,0.0042863265,0.8,S&P 500,North America,,,,,,,,,,,
6,Saudi Aramco,2222.SR,Saudi Arabia,Energy,27.7,1784473872990,16.094675,16.287426,4.4568243,0.22376,3.823,7.961,1832370044928,7.561,-0.05,0.5471,0.4802,0.41499,0.2025,0.24083,17.948,2.044,1.619,260437000192,303476015104,6.103,0.173,N/A,0.7372,0.05245487,1.453,Other,Other,,,,,,,,,,,
7,Meta Platforms (Facebook),META,United States,Communication Services,694.84,1783113842688,28.648365,27.017786,9.483871,0.37909,10.358,20.352,164500996096,64.918,0.206,0.81684,0.50891,0.45278,0.16863,0.37140998,27.25,2.978,2.822,77814996992,49769000960,72.075,1.2,N/A,0.0838,0.0028783605,2,S&P 500,North America,86400,32.73,2.41,21.64,8.68,2025,2,4,603,LEAD_PERF,Software & Services
8,Tesla,TSLA,United States,Consumer Cyclical,354.4,1159748386816,166.40393,104.259254,14.899434,0.07259,10.895,81.705,97690001408,30.557,0.021,0.17863001,0.13335,0.06158,0.04186,0.1042,18.489,2.025,1.427,36563001344,13623000064,22.672,2.336,N/A,0,0,0,S&P 500,North America,86400,24.73,3.2,14.13,7.4,2025,2,3,48,AVG_PERF,Automobiles
9,Broadcom,AVGO,United States,Technology,226.74,1072139862016,169.50389,35.43922,3.6922712,0.114300005,2.312,4.701,51574001664,11.154,0.164,0.75205004,0.4918,0.31765,0.08126,0.13458,166.032,1.174,0.939,11105000448,40456998912,59.221,1.039,2.61,1.6317999,0.009570433,2.17,S&P 500,North America,86400,19.2,8.12,6.86,4.21,2025,2,2,120,LAG_PERF,Semiconductors
10,Berkshire Hathaway,BRK-B,United States,Financial Services,481.8,1043332202496,9.6812935,23.841633,0.0010601679,0.23959999,-0.556,-1.631,371433013248,258348.64,0.016,0.30621,0.34082,0.25908002,0.063930005,0.14653,19.145,2.634,2.479,334200995840,124761997312,451569.97,N/A,N/A,0,0,0,S&P 500,North America,86400,26.19,1.66,5.52,19.02,2025,2,2,357,AVG_PERF,Diversified Financials
11,TSMC,TSM,Taiwan,Technology,200.1,1042237161472,28.730434,24.534655,1.198578,0.40537,1.292,1.884,2894308048896,69.7625,0.388,0.56122,0.68578005,0.49019,0.13519,0.30036,22.816,2.442,2.131,2422018932736,986462027776,165.396,1.244,1.95,0.33060002,0.08495752,17,Asian Index,Asia,,,,,,,,,,,
12,Walmart,WMT,United States,Consumer Defensive,97.21,835472588800,39.3278,34.84559,8.360973,0.02854,1.202,19.346,680984969216,84.689,0.041,0.24851,0.06215,0.043530002,0.07148,0.21414,61.534,0.823,0.197,9036999680,60114001920,11.336,0.552,1.47,0.3444,0.008538216,0.83,S&P 500,North America,86400,25.26,7.24,11.65,6.38,2025,2,3,73,AVG_PERF,Food Retailers
13,JPMorgan Chase,JPM,United States,Financial Services,266.8,780813729792,13.386018,15.7849455,2.2766356,0.3506,1.302,N/A,166774996992,58.031,0.13,0,0,0.42988,0.014839999,0.17386,N/A,N/A,N/A,1374602002432,832929988608,116.066,1.11,2.73,0.24299999,0.017991006,4.8,S&P 500,North America,86400,27.3,2.44,14.03,10.83,2025,2,3,454,AVG_PERF,Banks
14,Eli Lilly,LLY,United States,Healthcare,873.12,778758258688,74.60973,38.556046,55.254234,0.23511,18.122,42.363,45042700288,50.014,0.447,0.8131,0.42778,0.42843,0.15329,0.84264,244.616,1.154,0.577,3433499904,34910601216,15.812,0.412,1.19,0.4441,0.0059556533,5.2,S&P 500,North America,86400,23.62,2.58,13.08,7.96,2025,2,3,503,AVG_PERF,Pharmaceuticals
15,Visa,V,United States,Financial Services,350.49,685242253312,35.09869,27.530016,18.22284,0.54269004,18.691,26.897,36801998848,19.663,0.101,0.97815,0.69494003,0.68665004,0.16712,0.51191,53.815,1.121,0.708,14334000128,20608999424,19.126,0.965,0.67,0.2167,0.00633399,2.22,S&P 500,North America,86400,15.39,1.93,8.27,5.18,2025,2,3,603,LAG_PERF,Software & Services
16,Tencent,TCEHY,China,Communication Services,66.74,582685360128,30.461185,17.601583,0.6752981,0.26403,1.047,3.027,643006988288,68.931,0.081,0.52279,0.34607,0.31899,0.07692,0.19083999,35.661,1.285,1,360318009344,349661003776,98.786,0.504,0.51,0.1936,0.046239138,3.086,Asian Index,Asia,,,,,,,,,,,
17,Mastercard,MA,United States,Financial Services,563.28,518306004992,40.166428,34.036022,78.57787,0.45706,18.409,29.888,28167000064,30.451,0.144,1,0.61592996,0.56323004,0.22715999,1.90557,291.42,1.026,0.653,8771999744,18986000384,7.095,1.103,0.52,0.1901,0.004864366,2.74,S&P 500,North America,86400,16.13,1.61,7.95,6.57,2025,2,4,603,LAG_PERF,Software & Services
18,Oracle,ORCL,United States,Technology,176,507704180736,41.02934,23.437151,34.135475,0.2116,10.159,24.986,54933000192,19.882,0.086,0.71265,0.4066,0.30614,0.07498,1.24895,699.241,0.809,0.671,11310999552,99543998464,4.916,1.049,1.45,0.39119998,0.009090909,1.6,S&P 500,North America,86400,14.89,1.58,6.75,6.57,2025,2,2,603,LAG_PERF,Software & Services
19,Exxon Mobil,XOM,United States,Energy,112,480145833984,14.118623,14.064803,1.8271706,0.09889,1.505,7.971,340568014848,79.239,-0.02,0.30733,0.18878001,0.085159995,0.062459998,0.14515,17.852,1.308,0.949,23029000192,48308998144,60.58,0.875,4.95,0.4898,0.034285713,3.84,S&P 500,North America,86400,43.66,25.09,11.58,6.99,2025,2,3,165,LEAD_PERF,Oil & Gas Producers
20,Costco,COST,United States,Consumer Defensive,1034.83,471660462080,60.991753,52.592987,18.79242,0.02927,1.761,38.685,258805006336,582.954,0.075,0.12672,0.04552,0.03533,0.080699995,0.29946,33.25,0.98,0.386,11827000320,8129999872,55.077,0.83,0.67,0.2644,0.0043485407,4.5,S&P 500,North America,86400,29.12,8.65,15.5,4.98,2025,2,2,73,AVG_PERF,Food Retailers
21,UnitedHealth,UNH,United States,Healthcare,502.42,470301966336,30.033485,15.599332,4.39994,0.03599,1.21,13.315,400277995520,430.87,0.068,0.22333999,0.090900004,0.07711,0.07056,0.15128,74.962,0.827,0.496,29112999936,76903997440,106.006,0.624,1.35,0.5274,0.016281199,8.18,S&P 500,North America,86400,16.62,0.12,11.89,4.62,2025,2,4,305,LAG_PERF,Healthcare
22,Netflix,NFLX,United States,Communication Services,1024.54,446291673088,50.511078,42.18461,17.342035,0.22337,11.218,40.712,39000965120,90.801,0.16,0.46056998,0.27555,0.22181,0.12720999,0.38435,72.726,1.218,1.076,9583738880,17994973184,57.845,1.274,N/A,0,0,0,S&P 500,North America,86400,15.6,0.16,7.38,8.07,2025,2,2,140,LAG_PERF,Media
23,Home Depot,HD,United States,Consumer Cyclical,394.64,392805515264,26.17527,24.698717,66.123215,0.0945,2.881,17.988,154595999744,156.158,0.066,0.33495,0.16014999,0.13472,0.15313,4.04933,1108.4,1.133,0.251,1531000064,64132001792,5.827,1.058,2.3,0.6001,0.022805594,9,S&P 500,North America,86400,12.61,3.43,6.53,2.65,2025,2,2,268,LAG_PERF,Retailing
24,Procter & Gamble,PG,United States,Consumer Defensive,167.21,390394085376,27.106686,22.942047,7.923202,0.18353,5.035,17.625,84346003456,35.775,0.021,0.51717,0.28568,0.27181998,0.108839996,0.31058002,67.428,0.759,0.487,10229999616,34687000576,21.485,0.445,2.41,0.63060004,0.023682794,3.96,S&P 500,North America,86400,24.93,8.46,10.81,5.66,2025,2,2,51,AVG_PERF,Household Products
25,Johnson & Johnson,JNJ,United States,Healthcare,159.68,380139143168,28.031088,15.31132,5.4642787,0.15836,4.549,13.679,88820998144,36.897,0.053,0.69111,0.33258,0.16377,0.07982,0.20056,52.922,1.111,0.782,24522000384,37833998336,29.702,0.511,2.75,0.84800005,0.030748999,4.91,S&P 500,North America,86400,20.1,0.94,13.03,6.13,2025,2,4,503,AVG_PERF,Pharmaceuticals
26,LVMH,MC.PA,France,Consumer Cyclical,702.4,369457833243,27.70179,23.949812,5.1529546,0.14819999,4.49,16.951,84682997760,169.565,-0.021,0.67032,0.26488,0.20743999,0.08356,0.19635001,59.613,1.409,0.664,13608999936,41303998464,135.204,0.985,1.42,0.5175,0.018507972,13,Eurostoxx,Europe,86400,13.89,0.89,7.07,5.93,2025,2,2,76,LAG_PERF,Textiles & Apparel
27,Novo Nordisk,NVO,Denmark,Healthcare,83.74,366231912448,27.873417,21.641277,2.7261755,0.34775,1.61,3.188,290402992128,65.202,0.301,0.85,0.50505,0.49691,0.22408001,0.80775,71.636,0.74,0.523,26307999744,102786998272,32.309,0.192,1.44,0.4378,0.13613565,11.4,Other,Other,,,,,,,,,,,
28,Bank of America,BAC,United States,Financial Services,45.3,350175657984,13.959502,12.24317,1.2519908,0.28243,1.409,N/A,96066002944,12.229,0.064,0,0,0.29747,0.00842,0.09241,N/A,N/A,N/A,926603018240,697780994048,35.791,1.342,2.45,0.31149998,0.022075055,1,S&P 500,North America,86400,24.36,1.88,13.65,8.83,2025,2,3,454,AVG_PERF,Banks
29,AbbVie,ABBV,United States,Healthcare,200.88,348391833600,84.90756,16.659521,107.261154,0.07594,7.446,16.006,56334000128,31.845,0.056,0.70311,0.46523,0.3328,0.082550004,0.62292,2028.835,0.66,0.425,5554999808,68250001408,1.884,0.561,4.08,2.5941,0.031312224,6.29,S&P 500,North America,86400,25.97,1.78,15.71,8.48,2025,2,2,503,AVG_PERF,Pharmaceuticals
30,SAP,SAP,Germany,Technology,287.92,340409024512,102.16245,41.924442,7.2554092,0.091409996,9.663,34.97,34176000000,29.31,0.107,0.73186,0.27633,0.2601,0.07164,0.07062,24.987,1.122,0.981,11237999616,11445999616,39.004,0.893,1.54,0.831,0,0,Eurostoxx,Europe,,,,,,,,,,,
31,ICBC,1398.HK,China,Financial Services,5.59,323459121836,5.3047624,5.1574073,0.555002,0.55954,1.209,N/A,651155996672,1.825,0.005,0,0,0.64721,0.0078799995,0.09625,N/A,N/A,N/A,5102473052160,3741464920064,10.036,0.197,7.38,0.318,0.08050089,0.45,Asian Index,Asia,86400,30.8,2.22,14.85,13.73,2025,2,2,454,LEAD_PERF,Banks
32,Salesforce,CRM,United States,Technology,318.43,310575202304,51.037888,27.83468,5.06052,0.15958999,7.957,30.955,37189001216,38.568,0.083,0.76945,0.25704,0.20637,0.05032,0.101789996,20.808,1.106,0.903,12757000192,12177999872,61.219,1.307,N/A,0.19770001,0.0037684895,1.2,S&P 500,North America,86400,15.18,2.05,8.16,4.97,2025,2,2,603,LAG_PERF,Software & Services
33,Herm�s,RMS.PA,France,Consumer Cyclical,2749,306187369710,61.61892,56.83725,16.392351,0.30343,18.369,39.854,15169999872,144.779,0.139,0.70264,0.46091,0.38964,0.17653999,0.28465998,12.542,4.265,3.347,11642000384,2174000128,165.321,0.753,0.58,0.3419,0.005820298,16,Eurostoxx,Europe,86400,12.59,3.16,4.81,4.62,2025,2,1,76,LAG_PERF,Textiles & Apparel
34,Alibaba,BABA,China,Consumer Cyclical,135.97,303407988736,20.924309,14.564337,0.33235225,0.12316,2.614,14.337,981767028736,411.007,0.076,0.38808998,0.18233,0.17134,0.0504,0.102740005,24.142,1.482,0.991,453278007296,264301002752,432.523,0.308,N/A,0.1458,0.053107303,7.221,Asian Index,Asia,86400,19.28,2.27,10.48,6.54,2025,2,2,603,LAG_PERF,Software & Services
35,Coca-Cola,KO,United States,Consumer Defensive,70.04,301441155072,29.004065,24.02357,12.348563,0.2259,7.235,22.152,47061000192,10.922,0.064,0.61063,0.3266,0.25761998,0.090129994,0.39549,176.919,1.03,0.718,14570999808,46656999424,5.778,0.616,3.03,0.7886,0.02769846,1.94,S&P 500,North America,86400,24.16,9.24,10.56,4.35,2025,2,3,224,AVG_PERF,Food Products
36,T-Mobile US,TMUS,United States,Communication Services,265.4,300677234688,27.47876,24.851923,4.915836,0.1393,5.065,13.266,81399996416,69.621,0.068,0.63792,0.38182,0.20195,0.05461,0.17934,186.194,0.912,0.722,5408999936,114958000128,53.942,0.555,N/A,0.29299998,0.011529766,3.06,S&P 500,North America,86400,22.97,3.87,13.08,6.02,2025,2,3,100,AVG_PERF,Telecommunication Services
37,ASML,ASML,Netherlands,Technology,743.09,295237976064,36.76858,27.61086,15.692331,0.26790002,9.938,28.254,28262899712,1.293498,0.28,0.51276,0.35174,0.36224,0.12737,0.47427,19.902,1.533,0.893,12741300224,3677299968,46.979,1.082,0.81,0.3254,0.008612685,6.4,Eurostoxx,Europe,,,,,,,,,,,
38,Chevron,CVX,United States,Energy,158.79,275938639872,16.16066,14.213768,1.8224685,0.09031,1.534,7.671,195567992832,108.049,0.086,0.39525002,0.19994,0.094,0.0538,0.11266,19.334,1.061,0.709,6784999936,29610999808,86.103,1.098,4.45,0.67080003,0.041060522,6.52,S&P 500,North America,86400,38.36,19.91,10.61,7.84,2025,2,3,165,LEAD_PERF,Oil & Gas Producers
39,Samsung,005930.KS,South Korea,Technology,58200,268136074701,N/A,9.359148,N/A,0.11175,1.032,4.189,300870914801664,44294.297,0.118,0.37993,0.24642,0.08564,0.042150002,0.08997,4.806,2.433,1.778,112651791237120,19330183987200,N/A,0.739,2.59,0.29209998,N/A,N/A,Asian Index,Asia,86400,19.41,0.78,7.49,11.13,2023,9,4,1,UNDER_PERF,Technology Hardware
40,Wells Fargo,WFC,United States,Financial Services,78.63,264266334208,14.43203,14.116576,1.5879846,0.25297,1.587,N/A,77962002432,22.755,0.005,0,0,0.27916,0.0103400005,0.10836001,N/A,N/A,N/A,449908015104,298219012096,48.804,1.177,2.98,0.2793,0.019076688,1.5,S&P 500,North America,86400,34.38,1.5,14.68,18.2,2025,2,5,454,LEAD_PERF,Banks
41,Palantir,PLTR,United States,Technology,106.27,262821019648,533.6316,215.7234,47.400654,0.16128999,81.243,680.728,2865507072,1.273,0.36,0.80248,0.11935,0.01334,0.035720002,0.10812,4.696,5.958,5.828,5229986816,239219008,2.139,2.811,N/A,0,0,0,S&P 500,North America,86400,22.35,5.19,10.21,6.94,2025,2,1,603,AVG_PERF,Software & Services
42,Roche,ROG.SW,Switzerland,Healthcare,298.4,258724385516,22.415094,14.494876,7.436527,0.13265,4.18,11.48,62394998784,78.287,0.061,0.74788004,0.36408,0.27719,0.12753999,0.26466,100.603,1.482,1.137,17333000192,36379000832,39.938,0.183,3.18,0.72510004,0.0325067,9.7,Other,Other,86400,23.79,2.61,11.54,9.65,2023,9,3,6,AVG_PERF,Pharmaceuticals
43,Cisco,CSCO,United States,Technology,64.67,257952301056,28.061403,16.405128,5.588749,0.16958,4.971,18.46,54175997952,13.517,0.094,0.65132004,0.26929,0.22320999,0.065560006,0.20019,71.21,0.867,0.659,17643999232,32422000640,11.448,0.827,3.06,0.7018,0.024740994,1.6,S&P 500,North America,86400,12.91,0.4,7.64,4.87,2025,2,2,236,LAG_PERF,Technology Hardware
44,Kweichow Moutai,600519.SS,China,Consumer Defensive,1488.21,254685319382,22.485102,19.11437,7.816296,0.50051,11.014,16.279,165201379328,131.505,0.153,0.91832,0.67657995,0.65294,0.24997,0.36270002,0.134,6.157,1.588,60285538304,331776736,189.229,0.722,1.35,0.4691,0.020747073,30.876,Asian Index,Asia,86400,32,11.15,12.62,8.23,2023,9,3,9,OUT_PERF,Food Products
45,Agricultural Bank of China,601288.SS,China,Financial Services,5.18,249453526859,7.0410957,6.6753244,0.70720965,0.48889,0.786,N/A,565302001664,1.595,0.02,0,0,0.58463,0.00674,0.0951,N/A,N/A,N/A,5736373944320,4281438044160,7.268,0.182,5.92,0.3163,0.06698842,0.347,Asian Index,Asia,,,,,,,,,,,
46,IBM,IBM,United States,Technology,264.74,244402176000,40.665634,24.644676,8.867036,0.095979996,4.558,20.873,62753001472,68.077,0.01,0.56652,0.21836,0.21875,0.04146,0.24057,213.179,1.04,0.89,14590999552,58396000256,29.489,0.754,4.63,1.0389,0.025194531,6.67,S&P 500,North America,86400,13.27,1.58,6.68,5.01,2025,2,2,603,LAG_PERF,Software & Services
47,Accenture,ACN,Ireland,Technology,384.84,244074807296,30.48201,25.889128,7.7994995,0.11408,3.445,20.125,66361704448,105.794,0.09,0.32454,0.17116,0.16668,0.1146,0.2683,27.062,1.466,1.332,8311204864,8146397184,46.703,1.235,1.36,0.4484,0.014395593,5.54,Eurostoxx,Europe,86400,11.09,0.14,6.94,4.01,2025,2,1,603,LAG_PERF,Software & Services
48,International Holding Company,IHC.AE,United Arab Emirates,,,240030407259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Toyota,TM,Japan,Consumer Cyclical,180.68,237238534144,7.0114803,11.2237015,0.0645892,0.109060004,0.62,4.378,46746151419904,2187.5176,0.029,0.18674,0.14151,0.098079994,0.03349,0.14547,107.389,1.215,1.018,13881381486592,39579683913728,2742.099,0.343,2.71,0.21059999,0.470445,85,Asian Index,Asia,,,,,,,,,,,
50,Nestl�,NESN.SW,Switzerland,Consumer Defensive,85.1,234832105092,20.763723,18.790497,6.231645,0.118669994,3.003,15.151,91719999488,35.331,-0.008,0.46936,0.19818,0.16735001,0.07323,0.3058,173.221,0.821,0.477,7871000064,63559999488,13.961,0.365,2.74,0.71599996,0.035840187,3.05,Other,Other,86400,27.29,10.69,11.67,4.93,2023,9,3,9,AVG_PERF,Food Products
51,Philip Morris,PM,United States,Consumer Defensive,151.57,232918040576,25.690514,21.444445,-20.431387,0.18631001,7.5,18.937,37878001664,24.375,0.073,0.64811,0.39606,0.27766,0.12998,N/A,N/A,0.88,0.388,4216000000,46351998976,-7.557,0.573,5.29,0.88199997,0.03496734,5.3,S&P 500,North America,86400,26.55,5.63,13.63,7.3,2025,2,3,224,AVG_PERF,Food Products
52,AstraZeneca,AZN,United Kingdom,Healthcare,73.51,230597918720,32.986668,13.519127,2.821624,0.1301,2.591,7.975,54072999936,2.895538,0.238,0.82176,0.32488,0.22718,0.078779995,0.17593999,74.527,0.927,0.668,5525000192,30460000256,26.304,0.201,2.32,0.66,0.04217113,3.1,Other,Other,,,,,,,,,,,
53,Abbott Laboratories,ABT,United States,Healthcare,133.17,229174214656,17.659685,26.147287,4.9019036,0.31948,5.758,22.544,41949999104,24.109,0.072,0.55557,0.2554,0.18589,0.060599998,0.30906,31.889,1.671,1.052,7968000000,15274999808,27.524,0.742,1.66,0.288,0.016820606,2.24,S&P 500,North America,86400,21.62,1.81,13.77,6.05,2025,2,3,305,AVG_PERF,Healthcare
54,Morgan Stanley,MS,United States,Financial Services,134.34,226088845312,16.564781,16.606558,2.232791,0.21773,1.772,N/A,61496999936,38.653,0.249,0.86620003,0,0.371,0.01123,0.13173,397.03,2.092,1.756,532663009280,418580987904,58.98,1.359,3.01,0.4465,0.026983773,3.625,S&P 500,North America,86400,24.82,1.28,11.83,11.71,2025,2,2,357,AVG_PERF,Diversified Financials
55,China Mobile,0941.HK,China,Communication Services,82.5,226004531814,11.9089575,11.079234,1.3097545,0.13377,1.492,5.298,1025206976512,47.879,-0.001,0.29811,0.28167,0.14085001,0.046079997,0.10508,6.966,0.896,0.817,332828999680,92624003072,61.92,0.247,6.95,0.71379995,0.054145455,4.467,Asian Index,Asia,86400,27.83,6.75,13.73,7.35,2025,2,2,100,AVG_PERF,Telecommunication Services
56,General Electric,GE,United States,Industrials,208.74,225927544832,32.81281,38.135498,11.093039,0.1694,5.707,24.704,38701998080,35.67,0.143,0.30985,0.23101999,0.28258,0.03271,0.27644,104.155,1.094,0.769,14200999936,20377999360,18.014,1.218,0.39,0.1839,0.0053655263,1.12,S&P 500,North America,86400,32.49,13.44,12.73,6.32,2025,2,2,63,LEAD_PERF,Industrial Conglomerates
57,Linde,LIN,United Kingdom,Basic Materials,461.9,220018343936,34.723278,27.020647,5.7194233,0.19891001,7.151,18.512,33005000704,68.937,-0.002,0.48059,0.38631,0.27964002,0.06966,0.16721001,54.758,0.89,0.669,4849999872,21622999040,80.078,0.951,1.39,0.4131,0.012037237,5.56,Other,Other,86400,11.63,8.24,1.31,2.09,2025,2,2,182,LAG_PERF,Chemicals
58,China Construction Bank,601939.SS,China,Financial Services,8.64,219998140309,6.6000004,6.402985,0.6873348,0.53798,1.299,N/A,618929979392,2.455,0.014,0,0,0.6735,0.00848,0.103760004,N/A,N/A,N/A,5442760081408,4003958882304,12.483,0.257,5.52,0.3077,0.06909722,0.597,Asian Index,Asia,,,,,,,,,,,
59,American Express,AXP,United States,Financial Services,303.86,217728712704,21.1,19.537037,6.8520794,0.16669,3.652,N/A,60764000256,85.343,0.106,0.64813006,0,0.17832,0.038039997,0.34735,183.386,1.351,1.344,41109999616,55500001280,43.111,1.239,1.26,0.1999,0.00921477,2.8,S&P 500,North America,86400,18.28,0.13,9.7,8.45,2025,2,2,357,LAG_PERF,Diversified Financials
60,Intuitive Surgical,ISRG,United States,Healthcare,606.57,217018646528,92.61189,75.29134,12.84155,0.27809,24.819,73.358,8352099840,23.514,0.252,0.67458,0.33833,0.31328,0.08667,0.15621,0.883,4.074,3.077,4013299968,146000000,46.084,1.391,N/A,0,0,0,S&P 500,North America,86400,18.03,2.68,9.81,5.54,2025,2,1,305,LAG_PERF,Healthcare
61,Merck,MRK,United States,Healthcare,87.68,216537169920,13.278933,9.521277,5.092171,0.26674998,3.896,9.28,64168001536,25.253,0.068,0.80849,0.41983002,0.34447,N/A,0.41689,85.572,N/A,N/A,14593000448,38130999296,17.576,0.396,2.92,0.4629,0.035127737,3.08,S&P 500,North America,86400,19.96,2.89,11.4,5.67,2025,2,2,503,LAG_PERF,Pharmaceuticals
62,McDonald,MCD,United States,Consumer Cyclical,303.05,216376246272,26.73772,24.172087,-57.772934,0.31725,10.401,19.396,25920000000,35.905,-0.003,0.56755,0.53626996,0.45053002,0.13309,N/A,N/A,1.191,0.898,1084999936,51312001024,-5.276,0.738,2.25,0.59529996,0.022372548,6.78,S&P 500,North America,86400,25.56,8.39,12.53,4.64,2025,2,3,213,AVG_PERF,Consumer Services
63,Novartis,NVS,Switzerland,Healthcare,107.31,211156877312,18.62862,12.986936,4.9033675,0.23087,4.526,11.33,51721998336,25.627,0.151,0.75223,0.39948002,0.29938,0.100889996,0.26275,71.162,1.035,0.792,13351000064,31401000960,22.301,0.528,3.64,0.6371,0.03598919,3.862,Other,Other,,,,,,,,,,,
64,Goldman Sachs,GS,United States,Financial Services,642.26,208488873984,15.431671,15.052935,1.9456365,0.27368,2.642,N/A,52164001792,158.988,0.259,0.83292997,0,0.38889,0.0086199995,0.11933,545.902,2.927,2.183,752999989248,666000031744,321.54,1.387,2.31,0.28370002,0.01790552,11.5,S&P 500,North America,86400,25.22,0.75,13.47,11.01,2025,2,2,357,AVG_PERF,Diversified Financials
65,Bank of China,601988.SS,China,Financial Services,5.46,207594264912,7.3108106,7.118421,0.6770116,0.43779,11.161,N/A,531784007680,1.799,0.126,0,0,0.52591,0.00751,0.08891,N/A,N/A,N/A,2490466041856,6566953091072,7.991,0.248,5.94,0.3195,0.06538461,0.357,Asian Index,Asia,,,,,,,,,,,
66,ServiceNow,NOW,United States,Technology,967.98,203831590912,136.99416,56.19221,20.165249,0.12973,17.282,96.802,10983999488,53.363,0.213,0.79179,0.17853001,0.13764,0.046230003,0.16534,23.707,1.099,0.967,5761999872,2278000128,46.536,0.995,N/A,0,0,0,S&P 500,North America,86400,16.33,4.24,8.46,3.63,2025,2,0,603,LAG_PERF,Software & Services
67,Shell,SHEL,United Kingdom,Energy,68.38,203688263680,13.181818,8.486005,2.2875366,0.056599997,1.575,7.655,284312010752,90.264,-0.158,0.2561,0.20571,0.099259995,0.053790003,0.089650005,42.782,1.346,0.894,39110000640,77078003712,29.158,0.493,4.54,0.5439,0.020327581,1.39,Other,Other,,,,,,,,,,,
68,Thermo Fisher Scientific,TMO,United States,Healthcare,537.83,203053940736,32.256207,22.671349,4.089649,0.14774,5.322,21.14,42879000576,112.249,0.047,0.413,0.25175,0.1943,0.04901,0.13134,65.984,1.66,1.14,5569999872,32775000064,130.219,0.776,0.22,0.094399996,0.0029005446,1.56,S&P 500,North America,86400,12.43,1.49,4.89,6.04,2025,2,3,503,LAG_PERF,Pharmaceuticals
69,HSBC,HSBC,United Kingdom,Financial Services,55.97,202947919872,9.045162,40.345325,6.05681,0.39147,9.314,N/A,61253001216,4.17125,0.573,0,0,0.29029,0.00826,0.1299,N/A,N/A,N/A,1130176053248,688553000960,9.259,0.495,6.08,0.4911,0.011792032,0.66,Other,Other,,,,,,,,,,,
70,Walt Disney,DIS,United States,Communication Services,110.55,201297412096,35.279224,21.09903,1.9294351,0.060700003,2.606,13.066,92501999616,50.825,0.048,0.36740002,0.19944,0.16784,0.04251,0.05905,42.447,0.679,0.553,5486000128,45307998208,56.317,1.427,1.38,0.3084,0,0,S&P 500,North America,86400,14.51,0.09,8.53,5.89,2025,2,2,140,LAG_PERF,Media
71,Pepsico,PEP,United States,Consumer Defensive,149.1,199978418176,22.086332,17.78679,11.673891,0.104270004,2.712,14.367,91853996032,66.9,-0.002,0.5489,0.18879,0.10639,0.08989,0.52304,262.787,0.819,0.621,9265999872,47751000064,13.149,0.547,2.79,0.7669,0.03574782,5.33,S&P 500,North America,86400,19.98,7.18,8.98,3.83,2025,2,3,224,LAG_PERF,Food Products
